species_en,species_scientific,species_de
Yellow-billed Cacique,Amblycercus holosericeus,Gelbschnabelkassike
Clicker Round-winged Katydid,Amblycorypha alexanderi,Clicker Round-winged Katydid
Common Virtuoso Katydid,Amblycorypha longinicta,Common Virtuoso Katydid
Oblong-winged Katydid,Amblycorypha oblongifolia,Oblong-winged Katydid
Rattler Round-winged Katydid,Amblycorypha rotundifolia,Rattler Round-winged Katydid
Golden Bowerbird,Amblyornis newtoniana,Säulenlaubenvogel
Grosbeak Weaver,Amblyospiza albifrons,Weißstirnweber
Scarlet-headed Blackbird,Amblyramphus holosericeus,Rotkopfstärling
Yellow-browed Sparrow,Ammodramus aurifrons,Gelbwangenammer
Grassland Sparrow,Ammodramus humeralis,Wachtelammer
Grasshopper Sparrow,Ammodramus savannarum,Heuschreckenammer
Bar-tailed Lark,Ammomanes cinctura,Sandlerche
Desert Lark,Ammomanes deserti,Steinlerche
Rufous-tailed Lark,Ammomanes phoenicura,Rotschwanzlerche
Gray-bellied Antbird,Ammonastes pelzelni,Tüpfelwangen-Ameisenvogel
Saltmarsh Sparrow,Ammospiza caudacuta,Spitzschwanzammer
LeConte's Sparrow,Ammospiza leconteii,Leconteammer
Seaside Sparrow,Ammospiza maritima,Strandammer
Nelson's Sparrow,Ammospiza nelsoni,Nelsonammer
Scaled Fruiteater,Ampelioides tschudii,Schuppenkotinga
Red-crested Cotinga,Ampelion rubrocristatus,Rotschopfkotinga
Chestnut-crested Cotinga,Ampelion rufaxilla,Braunohrkotinga
Gray-headed Antbird,Ampelornis griseiceps,Graukopf-Ameisenvogel
Black-throated Sparrow,Amphispiza bilineata,Schwarzkehlammer
Five-striped Sparrow,Amphispizopsis quinquestriata,Fünfstreifenammer
White-browed Foliage-gleaner,Anabacerthia amaurotis,Rahmbrauen-Blattspäher
Ochre-breasted Foliage-gleaner,Anabacerthia lichtensteini,Schuppenscheitel-Blattspäher
